elevation,slope,rainfall_3day,distance_river,clay_percent,land_cover,population,flooded
1411.9,1.58,28.5,600,26.6,30,18,0
1125.6,1.07,4.0,218,51.2,10,0,0
1172.5,0.67,6.6,600,59.9,40,397,1
1165.5,0.65,5.5,880,41.9,40,290,0
1324.2,0.95,3.2,1073,24.7,40,626,0
1485.0,2.31,90.0,600,33.8,10,92,0
1646.1,7.32,12.6,21,50.0,40,205,0
1563.3,3.97,79.7,600,22.3,30,201,0
1487.3,6.26,47.3,6000,54.6,30,88,0
1506.4,0.5,80.4,6000,43.1,30,184,0
1156.7,0.74,5.4,728,49.8,50,602,0
1167.1,6.16,62.8,1252,22.0,10,98,0
1136.2,2.38,90.0,652,58.0,30,72,1
1152.4,2.44,13.4,68,31.2,30,81,0
1636.9,1.64,69.3,276,37.3,40,311,0
1250.0,7.13,3.8,84,19.6,40,325,0
1133.2,2.17,3.6,3085,41.1,40,267,0
1395.4,0.23,155.0,600,45.9,40,300,1
1206.4,10.89,20.5,1190,35.3,20,185,0
1410.5,0.65,11.2,800,27.7,80,49,0
1350.4,1.31,87.4,43,28.1,40,554,1
1601.4,2.68,19.3,813,21.6,10,77,0
1250.0,5.48,26.4,109,35.8,40,318,0
1444.9,7.91,25.6,22,31.5,40,398,0
1356.2,0.52,71.7,600,48.3,20,83,0
1538.9,0.7,2.1,854,36.7,90,98,0
1431.9,2.91,59.6,600,48.0,40,389,0
1265.3,1.06,68.2,645,21.0,40,303,0
1188.4,0.17,18.9,2762,27.6,30,65,0
1334.9,0.16,41.0,79,35.0,30,107,0
1352.1,0.73,6.9,158,65.0,90,54,0
1643.2,4.07,59.5,727,49.4,40,590,0
1386.8,0.55,25.0,190,65.0,40,461,0
1250.0,0.62,53.8,1025,35.0,40,258,0
1250.0,1.77,121.8,46,48.4,40,302,1
1321.3,6.29,63.6,620,48.1,40,185,0
1454.0,1.99,10.0,111,23.1,10,80,0
1418.0,0.46,12.8,84,36.1,40,501,0
1157.8,2.44,28.7,600,29.6,40,317,1
1152.3,19.27,16.2,507,58.9,90,170,0
1414.7,4.82,50.6,2032,26.4,40,116,0
1205.3,4.21,64.6,500,49.8,30,64,0
